path,folder,house,house_confidence,colour1_hex,colour1_name,colour1_family,colour1_share,colour1_role,colour1_sits,colour2_hex,colour2_name,colour2_family,colour2_share,colour2_role,colour2_sits,colour3_hex,colour3_name,colour3_family,colour3_share,colour3_role,colour3_sits,colour4_hex,colour4_name,colour4_family,colour4_share,colour4_role,colour4_sits,accent_sits,pattern,pattern_confidence,colour_story,colour_story_confidence,non_clothing_dominant_hex,non_clothing_dominant_name,frame_edge_colours,clothes_share,skin_share,background_share,colour_confidence,used_in
content/swipe/formats/IMG_0018.jpeg,content/swipe/formats,,input needed,536EA4,denim blue,blue,0.704,dominant,middle,6C8ABC,mid grey,grey,0.262,secondary,lower,,,,,,,,,,,,,no accent,,input needed,,input needed,6C8CBC,mid grey,98B8E8;6888B8;5878A8,1.0,0.0,0.0,high,
content/swipe/formats/IMG_0019.jpeg,content/swipe/formats,,input needed,C2AE73,mustard,yellow,0.627,dominant,middle,997133,ochre,yellow,0.281,secondary,middle,845F29,ochre,yellow,0.092,accent,middle,,,,,,,ochre middle,,input needed,ochre-gold light against deep umber shadow and a red-brown floor,given,3C2C1C,espresso,382818;583818;281818,0.833,0.0,0.167,high,
content/swipe/formats/IMG_0033.png,content/swipe/formats,,input needed,7D8E8C,mid grey,grey,0.292,dominant,middle,B47E4E,ochre,yellow,0.198,secondary,middle,DCB369,gold,yellow,0.194,accent,middle,E1CFA2,butter,yellow,0.187,secondary,middle,gold middle,,input needed,"golden yellow and red against sky blue; high chroma, high contrast",given,042C2C,petrol,082828;F8F8F8;083828,0.817,0.06,0.123,high,
content/swipe/formats/IMG_0034.png,content/swipe/formats,,input needed,797A81,mid grey,grey,0.412,dominant,middle,E7D684,butter,yellow,0.407,secondary,upper,0F0F13,black,black,0.072,secondary,lower,A7985B,mustard,yellow,0.066,accent,upper,mustard upper,,input needed,near-black and indigo against concrete grey with one hot yellow line,given,4C5464,denim blue,485868;9898A8;182838,0.366,0.0,0.634,medium,
content/swipe/formats/IMG_0035.png,content/swipe/formats,,input needed,979697,light grey,grey,0.45,dominant,middle,937C5D,tan,brown,0.308,secondary,upper,79777A,mid grey,grey,0.195,secondary,middle,473F3A,taupe,warm neutral,0.047,secondary,lower,no accent,,input needed,,input needed,CCCCCC,pale grey,C8C8C8;583818;684828,0.175,0.0,0.825,low,
content/swipe/formats/IMG_0036.png,content/swipe/formats,,input needed,392917,espresso,brown,0.35,dominant,middle,5B4528,chocolate,brown,0.295,secondary,middle,996C2E,ochre,yellow,0.168,accent,upper,8A7554,tobacco,brown,0.096,accent,middle,ochre upper; tobacco middle,,input needed,"Mustard-tan and olive gold against petrol blue, black ground, narrow warm range",given,040404,black,080808;080828;080818,0.813,0.031,0.156,high,
content/swipe/formats/IMG_0059.jpeg,content/swipe/formats,,input needed,422D22,espresso,brown,0.333,dominant,upper,4A4944,taupe,warm neutral,0.301,secondary,lower,E2DAD0,cream,warm neutral,0.164,secondary,middle,88654A,tobacco,brown,0.105,accent,middle,tobacco middle,,input needed,,input needed,141414,black,181818;081818;C8B898,0.214,0.204,0.582,low,
content/swipe/formats/IMG_0060.jpeg,content/swipe/formats,,input needed,4B4744,taupe,warm neutral,0.532,dominant,lower,EBDFCD,cream,warm neutral,0.15,secondary,upper,3C2B25,espresso,brown,0.133,secondary,upper,7B7060,olive,green,0.116,secondary,middle,no accent,,input needed,,input needed,141414,black,181818;081818;B8B898,0.096,0.203,0.702,low,
content/swipe/formats/IMG_0061.jpeg,content/swipe/formats,,input needed,433734,taupe,warm neutral,0.474,dominant,middle,EBDECA,cream,warm neutral,0.15,accent,lower,CAB398,oatmeal,warm neutral,0.139,secondary,middle,6C5949,tobacco,brown,0.132,secondary,middle,cream lower,,input needed,"Near-black throughout with ivory hem and neckline flash, contrast only at edges",given,141414,black,181818;080818;081818,0.203,0.048,0.748,low,
content/swipe/formats/IMG_0066.png,content/swipe/formats,,input needed,DFAD6D,gold,yellow,0.355,dominant,lower,EC9A5A,gold,yellow,0.229,secondary,middle,90744C,ochre,yellow,0.22,accent,middle,5C3A1C,chocolate,brown,0.114,accent,upper,ochre middle; chocolate upper,,input needed,"warm tan against olive and straw; very low contrast, close hues",given,14240C,forest,282808;484818;383818,0.946,0.006,0.048,high,
content/swipe/formats/IMG_0067.png,content/swipe/formats,,input needed,5D5E65,mid grey,grey,0.52,dominant,middle,3F4352,denim blue,blue,0.295,secondary,middle,66574E,tobacco,brown,0.079,secondary,middle,E1D6CD,cream,warm neutral,0.055,secondary,upper,no accent,,input needed,"All-black outfit against grey corrugated shutter, tonal, single narrow lightness gap",given,8C8C94,mid grey,989898;888888;282828,0.163,0.022,0.815,low,
content/swipe/formats/IMG_0090.png,content/swipe/formats,,input needed,6C6A69,taupe,warm neutral,0.489,dominant,middle,2E1114,oxblood,red,0.157,accent,middle,4E3024,chocolate,brown,0.152,accent,middle,A7A19B,oatmeal,warm neutral,0.111,secondary,middle,oxblood middle; chocolate middle,,input needed,,input needed,C4D4E4,sky,C8D8E8;282828;383838,0.369,0.301,0.33,medium,
content/swipe/formats/IMG_0091.png,content/swipe/formats,,input needed,1C1311,espresso,brown,0.284,dominant,middle,372925,espresso,brown,0.266,secondary,middle,D1C7BC,cream,warm neutral,0.171,secondary,middle,504643,taupe,warm neutral,0.15,secondary,middle,no accent,,input needed,,input needed,C4D4E4,sky,C8D8E8;989898;888888,0.4,0.19,0.409,medium,
content/swipe/formats/IMG_0093.png,content/swipe/formats,,input needed,DED8D6,cream,warm neutral,0.685,dominant,upper,705E4B,tobacco,brown,0.123,secondary,lower,867969,tobacco,brown,0.097,secondary,lower,251113,oxblood,red,0.095,accent,lower,oxblood lower,,input needed,"Chalk white against deep burgundy, warm gold surroundings, very wide lightness gap",given,5C2424,rust,582828;B88858;C89868,0.69,0.115,0.195,high,
content/swipe/formats/IMG_0130.png,content/swipe/formats,,input needed,CCD1D4,pale grey,cool neutral,0.438,dominant,middle,85847B,stone,warm neutral,0.187,secondary,upper,D3B899,oatmeal,warm neutral,0.182,secondary,upper,424433,olive,green,0.16,secondary,upper,no accent,,input needed,,input needed,040404,black,080808;181818;585858,0.132,0.009,0.859,low,
content/swipe/formats/IMG_0135.png,content/swipe/formats,,input needed,4A2A18,espresso,brown,0.34,dominant,middle,966538,ochre,yellow,0.209,secondary,middle,D3A782,tan,brown,0.206,accent,middle,200F07,espresso,brown,0.171,accent,upper,tan middle; espresso upper,,input needed,"rust and ochre against dry tan; narrow hue range, wide value range",given,CCC4BC,cream,C8C8B8,0.667,0.224,0.109,high,
content/swipe/formats/IMG_0136.png,content/swipe/formats,,input needed,85765B,olive,green,0.305,dominant,upper,2D2A1C,olive,green,0.221,secondary,lower,A09584,tan,brown,0.21,secondary,middle,625034,olive,green,0.168,accent,middle,olive middle,,input needed,"muted fawn brown, warm grey, soft ochre, all low chroma",given,CCC4BC,cream,585858;C8C8B8;281818,0.66,0.003,0.337,high,
content/swipe/formats/IMG_0137.png,content/swipe/formats,,input needed,956F4D,ochre,yellow,0.255,dominant,middle,B98B5F,ochre,yellow,0.244,secondary,middle,C4A485,tan,brown,0.2,secondary,middle,6D5035,tobacco,brown,0.182,accent,middle,tobacco middle,,input needed,,input needed,CCC4BC,cream,C8C8B8;C8B8B8;181808,0.636,0.028,0.336,high,
content/swipe/formats/IMG_0138.png,content/swipe/formats,,input needed,471613,espresso,brown,0.337,dominant,middle,68211C,rust,orange,0.22,secondary,middle,230E0C,oxblood,red,0.211,accent,lower,9B9C96,light grey,grey,0.137,secondary,middle,oxblood lower,,input needed,,input needed,CCC4BC,cream,C8C8B8;F8F8F8;D8C8C8,0.287,0.425,0.288,low,
content/swipe/formats/IMG_0139.png,content/swipe/formats,,input needed,AC8F71,tan,brown,0.556,dominant,lower,9F988C,oatmeal,warm neutral,0.141,secondary,upper,5B4536,chocolate,brown,0.128,accent,upper,DDF5EF,off-white,white,0.104,accent,lower,chocolate upper; off-white lower,,input needed,,input needed,CCC4BC,cream,181818;C8C8B8;787868,0.566,0.073,0.361,medium,
content/swipe/formats/IMG_0140.png,content/swipe/formats,,input needed,6A7080,denim blue,blue,0.285,dominant,middle,112E31,petrol,blue,0.258,secondary,middle,0D1314,black,black,0.195,accent,middle,455561,denim blue,blue,0.194,accent,middle,black middle; denim blue middle,,input needed,"deep teal against greige ground, leopard-print clutch, black boots",given,CCC4BC,cream,C8C8B8;D8C8B8;D8C8C8,0.896,0.049,0.056,high,
content/swipe/formats/IMG_0145.png,content/swipe/formats,,input needed,70827F,mid grey,grey,0.382,dominant,upper,4F544C,dark grey,grey,0.21,secondary,middle,54190A,rust,orange,0.196,accent,middle,E3EFF1,off-white,white,0.138,secondary,middle,rust middle,,input needed,"pale blue-green against chartreuse and red-brown; cool base, two warm accents",given,140404,off-black,180808;A8B8B8;080808,0.533,0.046,0.421,medium,
content/swipe/formats/IMG_0146.jpeg,content/swipe/formats,,input needed,72777D,mid grey,grey,0.232,dominant,middle,BBC1CA,light grey,grey,0.212,secondary,middle,6F6B33,olive,green,0.189,accent,middle,AA9A7F,tan,brown,0.186,secondary,middle,olive middle,,input needed,,input needed,2C240C,olive,282808;383818;181808,0.867,0.013,0.12,high,
content/swipe/formats/IMG_0147.jpeg,content/swipe/formats,,input needed,6C5C4C,tobacco,brown,0.289,dominant,middle,EDE9ED,white,white,0.275,secondary,middle,9FA5B5,light grey,grey,0.252,secondary,middle,B8CBB1,sage,green,0.173,secondary,middle,no accent,,input needed,left cream and butter; right mint-sage against dusty rose and terracotta,given,545434,olive,585838;181818;484838,0.561,0.303,0.136,medium,
content/swipe/formats/IMG_0166.png,content/swipe/formats,,input needed,282520,black,black,0.93,dominant,middle,B1A094,oatmeal,warm neutral,0.04,secondary,middle,,,,,,,,,,,,,no accent,,input needed,"Black and washed grey with red belt flash and olive boots, cool with one hot accent",given,FCFCFC,white,787878;F8F8F8;888888,0.617,0.253,0.129,high,
content/swipe/formats/IMG_0485.png,content/swipe/formats,,input needed,D2D6D6,pale grey,cool neutral,0.416,dominant,middle,695D4B,tobacco,brown,0.214,secondary,middle,AF9B83,tan,brown,0.194,secondary,middle,919DA9,steel blue,blue,0.108,secondary,upper,no accent,,input needed,,input needed,141414,black,181818;282828;383838,0.609,0.03,0.36,high,
content/swipe/formats/IMG_0486.png,content/swipe/formats,,input needed,E5E3E2,white,white,0.676,dominant,middle,100F0F,black,black,0.218,secondary,middle,675E53,tobacco,brown,0.056,secondary,middle,37271C,espresso,brown,0.046,accent,middle,espresso middle,,input needed,"Pure white against black, cream stone wall, black-and-white marble floor, maximum contrast",given,C4BCAC,oatmeal,B8B8A8;C8B8A8;988878,0.586,0.089,0.325,medium,
content/swipe/formats/IMG_0487.png,content/swipe/formats,,input needed,414D4C,dark grey,grey,0.396,dominant,lower,4B4731,olive,green,0.249,secondary,upper,B6B3A7,oatmeal,warm neutral,0.202,secondary,middle,817F4C,moss,green,0.126,accent,upper,moss upper,,input needed,"Cream lace against dark brown suit, deep red awning behind, warm and low contrast",given,141C14,off-black,181818;181808;080808,0.265,0.078,0.657,low,
content/swipe/formats/IMG_0488.png,content/swipe/formats,,input needed,EDE7E5,white,white,0.302,dominant,lower,6B5944,tobacco,brown,0.258,secondary,middle,41423E,dark grey,grey,0.255,secondary,middle,DDC39B,butter,yellow,0.094,secondary,middle,no accent,,input needed,,input needed,141414,black,181818;181808;586868,0.533,0.044,0.422,medium,
content/swipe/formats/IMG_0489.png,content/swipe/formats,,input needed,D9DACF,pale grey,cool neutral,0.342,dominant,middle,AFA795,oatmeal,warm neutral,0.269,secondary,middle,41241A,espresso,brown,0.224,accent,middle,745C47,tobacco,brown,0.138,accent,middle,espresso middle; tobacco middle,,input needed,"Ivory white against warm brown and tobacco, red-orange lanterns behind, warm throughout",given,FCFCFC,white,080808;484848;181818,0.775,0.129,0.096,high,
content/swipe/formats/IMG_0490.png,content/swipe/formats,,input needed,BBB7AB,oatmeal,warm neutral,0.337,dominant,middle,524541,taupe,warm neutral,0.202,secondary,middle,9E8357,ochre,yellow,0.186,accent,upper,83776A,tobacco,brown,0.182,secondary,middle,ochre upper,,input needed,,input needed,1C1414,off-black,181818;486848;282838,0.593,0.198,0.209,medium,
content/swipe/products/IMG_0580.png,content/swipe/products,THE ROW,given,B4ABAA,light grey,grey,0.508,dominant,middle,9E8669,tan,brown,0.459,secondary,middle,,,,,,,,,,,,,no accent,,input needed,"Cream, beige and pale gold with small pastel plaid accent, very soft range",given,FCFCFC,white,F8F8F8;685848;785848,0.83,0.032,0.138,high,
content/swipe/visuals/IMG_0066.png,content/swipe/visuals,,input needed,DFAD6D,gold,yellow,0.355,dominant,lower,EC9A5A,gold,yellow,0.229,secondary,middle,90744C,ochre,yellow,0.22,accent,middle,5C3A1C,chocolate,brown,0.114,accent,upper,ochre middle; chocolate upper,,input needed,"warm tan against olive and straw; very low contrast, close hues",given,14240C,forest,282808;484818;383818,0.946,0.006,0.048,high,
content/swipe/visuals/IMG_0136.png,content/swipe/visuals,,input needed,85765B,olive,green,0.305,dominant,upper,2D2A1C,olive,green,0.221,secondary,lower,A09584,tan,brown,0.21,secondary,middle,625034,olive,green,0.168,accent,middle,olive middle,,input needed,"muted fawn brown, warm grey, soft ochre, all low chroma",given,CCC4BC,cream,585858;C8C8B8;281818,0.66,0.003,0.337,high,
content/swipe/visuals/IMG_0137.png,content/swipe/visuals,,input needed,956F4D,ochre,yellow,0.255,dominant,middle,B98B5F,ochre,yellow,0.244,secondary,middle,C4A485,tan,brown,0.2,secondary,middle,6D5035,tobacco,brown,0.182,accent,middle,tobacco middle,,input needed,,input needed,CCC4BC,cream,C8C8B8;C8B8B8;181808,0.636,0.028,0.336,high,
content/swipe/visuals/IMG_0145.png,content/swipe/visuals,,input needed,70827F,mid grey,grey,0.382,dominant,upper,4F544C,dark grey,grey,0.21,secondary,middle,54190A,rust,orange,0.196,accent,middle,E3EFF1,off-white,white,0.138,secondary,middle,rust middle,,input needed,"pale blue-green against chartreuse and red-brown; cool base, two warm accents",given,140404,off-black,180808;A8B8B8;080808,0.533,0.046,0.421,medium,
content/swipe/visuals/IMG_0146.jpeg,content/swipe/visuals,,input needed,72777D,mid grey,grey,0.232,dominant,middle,BBC1CA,light grey,grey,0.212,secondary,middle,6F6B33,olive,green,0.189,accent,middle,AA9A7F,tan,brown,0.186,secondary,middle,olive middle,,input needed,,input needed,2C240C,olive,282808;383818;181808,0.867,0.013,0.12,high,
content/swipe/visuals/IMG_0147.jpeg,content/swipe/visuals,,input needed,6C5C4C,tobacco,brown,0.289,dominant,middle,EDE9ED,white,white,0.275,secondary,middle,9FA5B5,light grey,grey,0.252,secondary,middle,B8CBB1,sage,green,0.173,secondary,middle,no accent,,input needed,left cream and butter; right mint-sage against dusty rose and terracotta,given,545434,olive,585838;181818;484838,0.561,0.303,0.136,medium,
content/swipe/visuals/IMG_3454.png,content/swipe/visuals,,input needed,D0D1DE,pale grey,cool neutral,0.38,dominant,lower,7E7874,stone,warm neutral,0.223,secondary,lower,A86D99,mauve,purple,0.171,accent,middle,7B4167,plum,purple,0.165,accent,middle,mauve middle; plum middle,,input needed,"Dusty pink flowers against pale stone and white trousers, soft warm, narrow range",given,040404,black,A8A898;080808;484838,0.66,0.013,0.327,high,
