path,folder,type,what_it_shows,colour_words,brand_legible,composition,styled_how,open_note,hex1,share1,hex2,share2,hex3,share3,hex4,share4,hex5,share5,nearest_soft_autumn_anchor,anchor_delta_e,palette_confidence,confidence_reason,skin_share,subject_share,shortlist,suggested_name,width,height,bytes,format,opened
content/swipe/formats/IMG_0161.png,content/swipe/formats,format,"Substack creator stats dashboard: subscriber numbers, a line chart, subscriber avatars",,,,,,142842,0.424,4C4C4A,0.275,AAAEAC,0.189,5671BF,0.087,,,warm charcoal,17.0,low,little left after background removal,0.03,0.094,no,,1908,2746,819265,PNG,contact_sheet
content/swipe/formats/IMG_0162.png,content/swipe/formats,format,Substack notes feed with a backless dress image and portrait images,,,,,,5B5240,0.303,C4BEB1,0.275,2F2B27,0.208,8B857D,0.203,,,chocolate,10.7,medium,background dominates frame,0.108,0.353,no,,1908,2746,6946646,PNG,contact_sheet
content/swipe/formats/IMG_0163.png,content/swipe/formats,format,Substack notes feed with grids of runway look images,,,,,,ABA19B,0.296,74675F,0.263,383030,0.216,DBD7D4,0.191,943E2B,0.034,warm taupe,8.7,medium,background dominates frame,0.068,0.401,no,,1908,2746,6549254,PNG,contact_sheet
content/swipe/formats/IMG_0164.png,content/swipe/formats,format,Substack notes feed mixing flat-lay grids and runway images,,,,,,C5B9A7,0.308,3A332F,0.285,77746F,0.238,997E5D,0.157,,,stone,5.8,medium,background dominates frame,0.047,0.334,no,,1908,2746,6430077,PNG,contact_sheet
content/swipe/formats/IMG_0165.png,content/swipe/formats,format,Substack notes feed with haircut photos and short text posts,,,,,,5C4637,0.277,827D77,0.259,C6BFB5,0.163,BD9A78,0.155,312D2B,0.145,chocolate,5.3,medium,background dominates frame,0.076,0.432,no,,1908,2746,6349015,PNG,contact_sheet
content/swipe/formats/IMG_0166.png,content/swipe/formats,visual,"Black wrapped hooded top over grey tee, worn grey denim mini, olive tall boots","Black and washed grey with red belt flash and olive boots, cool with one hot accent",,,"Wrapped cropped top over very short skirt, long boots to the knee, slouchy black bag",Thin red belt at the waist anchors an otherwise grey outfit,7C7D7B,0.367,101010,0.25,A5AFB2,0.139,3D342E,0.129,EEF6F9,0.115,warm mid grey,6.4,high,,0.052,0.948,yes,,1908,2746,7055094,PNG,opened_reduced
content/swipe/formats/IMG_0167.jpeg,content/swipe/formats,format,Substack note showing a colour-season chart with figures grouped by palette,,,,,,3F3838,0.365,7A7473,0.26,D1CDCC,0.238,823C2C,0.101,C7B785,0.036,warm charcoal,3.7,low,little left after background removal,0.12,0.217,no,,1908,870,212044,JPEG,contact_sheet
content/swipe/formats/IMG_0168.png,content/swipe/formats,format,"Article with a film still: couple, woman in a white strapless dress, beside body text",,,,,,222215,0.652,483F3D,0.112,747068,0.098,C0BAB6,0.083,211419,0.055,warm charcoal,9.5,medium,top cluster 65% — may still be a studio backdrop,0.023,0.977,no,,1908,2746,1646645,PNG,contact_sheet
content/swipe/formats/IMG_0169.png,content/swipe/formats,format,Substack note composer open with the on-screen keyboard showing,,,,,,423F3D,0.596,402E17,0.179,2B2926,0.138,72706C,0.056,BAB8B7,0.032,warm charcoal,3.2,medium,background dominates frame; top cluster 60% — may still be a studio backdrop,0.001,0.303,no,,1908,2746,3240360,PNG,contact_sheet
content/swipe/formats/IMG_0170.jpeg,content/swipe/formats,format,Substack note with a flat-lay grid of garments and accessories,,,,,,3D3D45,0.36,64392D,0.197,707681,0.177,B7AFA7,0.139,A47F5A,0.127,warm charcoal,7.8,medium,background dominates frame,0.062,0.328,no,,1908,1227,297329,JPEG,contact_sheet
content/swipe/formats/IMG_0485.png,content/swipe/formats,visual,"Photo of a couple at a café table, woman in a short white dress and dark boots",,,,,,1C1B18,0.275,3B3E3F,0.227,A69883,0.178,D3D5D3,0.174,66513B,0.146,warm charcoal,8.9,high,,0.009,0.991,no,,1908,2746,15498404,PNG,contact_sheet
content/swipe/formats/IMG_0486.png,content/swipe/formats,visual,"Couple on wooden bench, woman in white with wide brimmed hat, man in black","Pure white against black, cream stone wall, black-and-white marble floor, maximum contrast",,,"Long sleeved white column with high slit, oversized hat hiding the face, white gloves, white pumps","Two colours only, repeated in outfit and floor, so the composition looks designed",BFB6AB,0.361,94897B,0.254,0E0C0B,0.179,E0DEDC,0.148,4F3827,0.058,stone,6.1,high,,0.012,0.988,yes,,1908,2746,11576953,PNG,opened_reduced
content/swipe/formats/IMG_0487.png,content/swipe/formats,visual,"Couple eating pizza at pavement table outside a pizza counter, sunglasses on both","Cream lace against dark brown suit, deep red awning behind, warm and low contrast",,,"Textured cream layers with big bow bag; sharp tailored brown suit, tie, black shoes, dressed-up in casual place",Formal clothes in an everyday setting makes the picture funny and shareable,151811,0.496,7E7E72,0.153,464B45,0.126,BEBDAF,0.118,31341D,0.108,warm charcoal,11.4,medium,top cluster 50% — may still be a studio backdrop,0.038,0.962,yes,,1908,2746,18792764,PNG,opened_reduced
content/swipe/formats/IMG_0488.png,content/swipe/formats,visual,"Night photo: couple under a lit arcade, woman in a short white dress",,,,,,171712,0.458,424643,0.23,6A6D6E,0.176,7B6246,0.076,E4DAD0,0.06,warm charcoal,10.5,medium,top cluster 46% — may still be a studio backdrop,0.021,0.979,no,,1908,2746,17456078,PNG,contact_sheet
content/swipe/formats/IMG_0489.png,content/swipe/formats,visual,"Couple walking a busy Chinatown street; white feather-trimmed dress, brown suit, check overcoat","Ivory white against warm brown and tobacco, red-orange lanterns behind, warm throughout",,,"Belted knee-length dress with feather trim; three-piece brown suit under longer checked coat, layered lengths",Street life around a quiet outfit makes the clothes look lived in,4D3E35,0.231,797368,0.227,AEA792,0.206,191111,0.204,E0E0D7,0.131,chocolate,3.9,high,,0.021,0.979,yes,,1908,2746,19301196,PNG,opened_reduced
content/swipe/formats/IMG_0490.png,content/swipe/formats,visual,Photo of a couple with a bouquet in front of a lit street sign,,,,,,2A2226,0.263,B9B9B5,0.224,5B5057,0.211,81735A,0.211,CFBA76,0.092,warm charcoal,8.8,medium,background dominates frame,0.058,0.393,no,,1908,2746,6237134,PNG,contact_sheet
content/swipe/formats/IMG_0491.jpeg,content/swipe/formats,format,Substack note with a grid of couple and street photos,,,,,,C6C4BD,0.308,453B37,0.298,807D6C,0.281,B9A160,0.071,5B567D,0.043,stone,4.1,high,,0.035,0.6,no,,1908,929,313400,JPEG,contact_sheet
content/swipe/formats/IMG_0492.jpeg,content/swipe/formats,format,Substack note with two images of pale blue outfits,,,,,,6E6C6B,0.434,413F3E,0.301,ABAAA8,0.102,88AAD3,0.095,2E446A,0.068,warm mid grey,10.8,high,,0.001,0.737,no,,1908,876,339467,JPEG,contact_sheet
content/swipe/formats/IMG_0493.jpeg,content/swipe/formats,format,"Substack note with three images: person in a scarf, an arched door, a red text graphic",,,,,,C4C3A2,0.241,8A7E68,0.227,E1805C,0.203,453B32,0.186,78412B,0.143,stone,9.8,high,,0.053,0.697,no,,1908,861,253636,JPEG,contact_sheet
content/swipe/formats/IMG_0494.jpeg,content/swipe/formats,format,Substack note with two outfit photos taken in an interior,,,,,,2E2C2A,0.315,4B4134,0.246,5A5A58,0.194,CAC8BD,0.143,90887E,0.102,warm charcoal,3.6,high,,0.005,0.619,no,,1908,857,270357,JPEG,contact_sheet
content/swipe/formats/IMG_0495.jpeg,content/swipe/formats,format,Substack note with a photo of a person in a cream knit taking a mirror selfie,,,,,,B8AEA0,0.294,90806D,0.24,181819,0.238,DBD7D1,0.176,654A3D,0.053,stone,8.3,high,,0.037,0.963,no,,1908,1149,399046,JPEG,contact_sheet
content/swipe/formats/IMG_0496.jpeg,content/swipe/formats,format,"Substack note showing a Vogue headline card ""The 2014 Tumblr Girl Is Back""",,Vogue,,,,8C8C8D,0.328,D4D3D2,0.252,2F2F30,0.22,585859,0.182,,,warm mid grey,7.3,low,little left after background removal,0.001,0.087,no,,1908,925,98300,JPEG,contact_sheet
content/swipe/formats/IMG_0497.jpeg,content/swipe/formats,format,Substack note with two portraits of women in sunglasses,,,,,,2D292D,0.31,D9D5CA,0.222,CABCA3,0.214,5C4D47,0.13,A5998F,0.123,warm charcoal,6.8,medium,background dominates frame,0.115,0.421,no,,1908,839,210830,JPEG,contact_sheet
content/swipe/products/IMG_0004.png,content/swipe/products,product,camisole and briefs set,mauve brown,OVS,,,,20242A,0.388,826161,0.269,674B4B,0.201,5F6367,0.086,ABA9A9,0.056,warm charcoal,9.4,low,little left after background removal; skin band 37% — overlaps dusty rose / salmon,0.372,0.248,no,top_mauve_brown_ovs_camisole_briefs_set,1908,2746,1480824,PNG,contact_sheet
content/swipe/products/IMG_0005.png,content/swipe/products,product,camisole and briefs set,dusty pink,OVS,,,,A8766D,0.351,B7907C,0.306,2B2E33,0.248,794F43,0.091,,,dusty rose,11.5,low,skin band 64% — overlaps dusty rose / salmon; skin not masked,0.645,0.453,no,top_dusty_pink_ovs_camisole_briefs_set,1908,2746,4377449,PNG,contact_sheet
content/swipe/products/IMG_0006.jpeg,content/swipe/products,product,triangle bralette and briefs,cream,,,,,895D48,0.306,D0AC93,0.294,B5866C,0.281,523529,0.063,FEFEFE,0.056,rust,9.2,low,background dominates frame; skin band 60% — overlaps dusty rose / salmon; skin not masked,0.596,0.32,no,top_cream_triangle_bralette_briefs,476,668,35381,JPEG,contact_sheet
content/swipe/products/IMG_0007.png,content/swipe/products,product,lace-trim bralette,deep brown,,,,,382C2E,0.637,F9FAFA,0.143,636366,0.104,031526,0.07,ADACAC,0.047,warm charcoal,7.2,medium,background dominates frame; top cluster 64% — may still be a studio backdrop,0.0,0.291,no,top_deep_brown_lace-trim_bralette,1908,2746,1020621,PNG,contact_sheet
content/swipe/products/IMG_0008.jpeg,content/swipe/products,product,listing grid of socks plus one lace bralette,pink blue olive grey,,,"flat product shots in a six-tile grid, no styling","three sock tiles carry a ""Made in Italy"" flag; clean palette row",FAFAFA,0.305,5A4440,0.259,C24676,0.221,9E9EA5,0.184,6B7DA0,0.032,cream,9.3,low,little left after background removal,0.088,0.177,yes,accessory_bright_pink_and_pale_blue_socks_bras,1426,1259,128810,JPEG,opened_reduced
content/swipe/products/IMG_0009.png,content/swipe/products,product,striped shirt on model,blue and white,,,,,985538,0.489,1D1B20,0.213,AEADB9,0.119,E8EAEF,0.102,696676,0.077,rust,3.7,medium,top cluster 49% — may still be a studio backdrop,0.016,0.984,no,top_blue_and_white_striped_shirt,1908,2746,5307860,PNG,contact_sheet
content/swipe/products/IMG_0010.png,content/swipe/products,product,wide-leg trousers,cream,,,,,894A30,0.382,E3DCDA,0.291,BAADA5,0.194,1D1D22,0.078,48494B,0.054,rust,6.6,high,,0.044,0.956,no,bottom_cream_wide-leg_trousers,1908,2746,4302834,PNG,contact_sheet
content/swipe/products/IMG_0011.png,content/swipe/products,product,brown shirt with jeans,warm brown,,,,,D4D2D6,0.439,1D1C22,0.229,354C6F,0.125,7F614F,0.124,543528,0.083,stone,8.0,medium,skin band 6%,0.062,0.938,no,bottom_warm_brown_brown_shirt_jeans,1908,2746,5333649,PNG,contact_sheet
content/swipe/products/IMG_0012.png,content/swipe/products,product,short-sleeve knit polo,charcoal grey,OVS,,,,31333A,0.547,17191F,0.189,F9FAFA,0.184,5F6367,0.051,,,warm charcoal,7.3,medium,top cluster 55% — may still be a studio backdrop,0.0,0.519,no,top_charcoal_grey_ovs_short-sleeve_knit_polo,1908,2746,5148123,PNG,contact_sheet
content/swipe/products/IMG_0013.png,content/swipe/products,product,V-neck knitted sweater vest,charcoal grey,LES COPAINS (on ovsfashion.com),,"over pink striped tie-neck shirt, untucked, with dark denim skirt",pink stripe under grey knit; the vest hem sits above the shirt tail,D5D6DB,0.55,292A30,0.184,151924,0.142,86797E,0.066,5A4140,0.057,stone,8.7,medium,top cluster 55% — may still be a studio backdrop,0.024,0.976,yes,bottom_grey_and_dusty_pink_knit_vest_shirt,1908,2746,4948073,PNG,opened_reduced
content/swipe/products/IMG_0014.png,content/swipe/products,product,knit polo with wide trousers,grey,,,,,C6C4C8,0.306,191719,0.306,49494E,0.17,775844,0.144,EEF0F1,0.074,stone,8.4,high,,0.041,0.959,no,bottom_grey_knit_polo_wide,1908,2746,4531980,PNG,contact_sheet
content/swipe/products/IMG_0015.png,content/swipe/products,product,buttoned cardigan with jeans,taupe brown,,,,,E1E3E8,0.441,786665,0.193,28262B,0.16,C0BABB,0.145,5F6F87,0.061,stone,9.8,high,,0.026,0.974,no,layer_taupe_brown_buttoned_cardigan_jeans,1908,2746,5229582,PNG,contact_sheet
content/swipe/products/IMG_0016.png,content/swipe/products,product,wide-leg jeans,mid blue,,,,,3B526D,0.318,607183,0.269,23272D,0.245,F9FAFA,0.106,B19C8C,0.062,petrol,11.6,medium,background dominates frame,0.054,0.398,no,bottom_mid_blue_wide-leg_jeans,1908,2746,2583479,PNG,contact_sheet
content/swipe/products/IMG_0040.png,content/swipe/products,format,Substack post layout with full-width photo of a model in a black coat and sunglasses,,,,,,29292A,0.33,777675,0.266,484748,0.19,C4BDB8,0.149,78433C,0.065,warm charcoal,5.7,low,little left after background removal,0.107,0.102,no,,1908,2746,1653418,PNG,contact_sheet
content/swipe/products/IMG_0041.png,content/swipe/products,product,"ARKET product page: beige knee-length coat worn with dark trousers, wordmark legible",,ARKET,,,,D7C7AD,0.44,151314,0.341,B4A084,0.101,131C36,0.059,6B5C52,0.059,stone,5.6,medium,background dominates frame,0.002,0.297,no,layer_stone_arket_beige_knee-length_coat,1908,2746,1487648,PNG,contact_sheet
content/swipe/products/IMG_0042.png,content/swipe/products,product,ARKET product page: wide light-blue jeans over brown shoes,,ARKET,,,,4F6B8D,0.377,243B58,0.264,151112,0.206,443A39,0.087,949CA8,0.066,petrol,14.3,high,,0.0,0.454,no,bottom_petrol_arket_wide_light-blue_jeans,1908,2746,4644694,PNG,contact_sheet
content/swipe/products/IMG_0043.png,content/swipe/products,product,ARKET product page: white t-shirt tucked into blue jeans with a dark belt,,ARKET,,,,60789B,0.366,39537A,0.239,141314,0.202,9A5F45,0.12,C1BAB9,0.073,petrol,18.3,medium,background dominates frame,0.112,0.401,no,bottom_petrol_arket_white_t-shirt_tucked,1908,2746,4783729,PNG,contact_sheet
content/swipe/products/IMG_0044.png,content/swipe/products,format,Substack post with full-width photo of a person from behind in white shirt and dark trousers,,,,,,37322D,0.31,A49789,0.225,645B53,0.222,DECCB2,0.181,D2D2D7,0.063,warm charcoal,1.5,low,little left after background removal,0.071,0.179,no,,1908,2746,10337475,PNG,contact_sheet
content/swipe/products/IMG_0045.png,content/swipe/products,product,Massimo Dutti product page: pointed black mules shown from several angles,,Massimo Dutti,,,,1B1717,0.446,5D5553,0.168,3C3332,0.135,C0BFBE,0.132,8F8580,0.119,warm charcoal,10.1,low,little left after background removal,0.016,0.134,no,,1908,2746,1063436,PNG,contact_sheet
content/swipe/products/IMG_0171.png,content/swipe/products,product,poplin shirt,white,ASPESI,,,,25272D,0.905,,,,,,,,,warm charcoal,8.4,low,little left after background removal; top cluster 91% — may still be a studio backdrop; fewer than two clusters,0.0,0.118,no,top_white_aspesi_poplin_shirt,1908,2746,309192,PNG,contact_sheet
content/swipe/products/IMG_0172.png,content/swipe/products,product,cotton poplin shirt,white,ASPESI,,,,26282E,0.55,030304,0.193,C3B9B3,0.163,7E7C7D,0.09,,,warm charcoal,8.2,low,little left after background removal; top cluster 55% — may still be a studio backdrop,0.018,0.196,no,top_white_aspesi_cotton_poplin_shirt,1908,2746,604429,PNG,contact_sheet
content/swipe/products/IMG_0173.png,content/swipe/products,product,cotton poplin shirt,light blue,ASPESI,,,,27282E,0.488,96B6F3,0.215,040506,0.17,969697,0.113,,,warm charcoal,8.1,medium,background dominates frame; top cluster 49% — may still be a studio backdrop,0.017,0.256,no,top_light_blue_aspesi_cotton_poplin_shirt,1908,2746,949304,PNG,contact_sheet
content/swipe/products/IMG_0174.png,content/swipe/products,product,"full circle midi skirt, poplin",navy near-black,aspesi.com,,"with blue oversized shirt bloused at waist, brown penny loafers",volume plus flat loafer; shirt blue against navy skirt,24282F,0.59,121418,0.154,A5BBEE,0.146,6A5451,0.06,6582C2,0.05,warm charcoal,9.0,medium,background dominates frame; top cluster 59% — may still be a studio backdrop,0.072,0.298,yes,bottom_light_blue_and_black_aspesi_blue_shirt_black,1908,2746,1173820,PNG,opened_reduced
content/swipe/products/IMG_0175.png,content/swipe/products,product,short-sleeve knit polo,cream,ASPESI,,,,25272D,0.553,1B1B1E,0.347,565253,0.052,,,,,warm charcoal,8.4,low,little left after background removal; top cluster 55% — may still be a studio backdrop,0.002,0.217,no,top_cream_aspesi_short-sleeve_knit_polo,1908,2746,454020,PNG,contact_sheet
content/swipe/products/IMG_0176.png,content/swipe/products,product,short-sleeve knit polo,cream,ASPESI,,,,1D1F23,0.681,B3B4B6,0.135,7A7B7D,0.072,5B4B38,0.058,423931,0.054,warm charcoal,9.5,low,little left after background removal; top cluster 68% — may still be a studio backdrop,0.003,0.227,no,top_cream_aspesi_short-sleeve_knit_polo,1908,2746,722077,PNG,contact_sheet
content/swipe/products/IMG_0177.png,content/swipe/products,product,short-sleeve knit polo,navy,ASPESI,,,,1A1E27,0.611,25272D,0.329,,,,,,,warm charcoal,11.8,medium,background dominates frame; top cluster 61% — may still be a studio backdrop,0.001,0.389,no,top_navy_aspesi_short-sleeve_knit_polo,1908,2746,690120,PNG,contact_sheet
content/swipe/products/IMG_0178.png,content/swipe/products,product,short-sleeve knit polo,pale pink,ASPESI,,,,25262D,0.543,030304,0.176,AEABAE,0.128,CA1C16,0.079,6B5D5B,0.074,warm charcoal,8.9,low,little left after background removal; top cluster 54% — may still be a studio backdrop,0.018,0.216,no,top_pale_pink_aspesi_short-sleeve_knit_polo,1908,2746,872244,PNG,contact_sheet
content/swipe/products/IMG_0179.png,content/swipe/products,product,"short-sleeve knit polo, tipped collar",pale pink,aspesi.com,,"flat shot, not styled",white tipping on the collar is the only contrast; thumbnails show a red look,25272D,0.555,1B1B1E,0.344,C3BBBC,0.054,616168,0.042,,,warm charcoal,8.4,low,little left after background removal; top cluster 55% — may still be a studio backdrop,0.026,0.22,yes,top_pale_pink_aspesi_short-sleeve_knit_polo,1908,2746,831031,PNG,opened_reduced
content/swipe/products/IMG_0180.png,content/swipe/products,product,knit polo with shorts on model,light blue,ASPESI,,,,25262C,0.496,64A5DE,0.18,040405,0.158,A6A6A8,0.104,625554,0.063,warm charcoal,8.5,medium,background dominates frame; top cluster 50% — may still be a studio backdrop,0.004,0.256,no,bottom_light_blue_aspesi_knit_polo_shorts,1908,2746,993772,PNG,contact_sheet
content/swipe/products/IMG_0181.png,content/swipe/products,product,short-sleeve knit polo,black,ASPESI,,,,29292F,0.452,17161B,0.207,9A9B9E,0.144,020202,0.138,828A64,0.06,warm charcoal,7.8,medium,background dominates frame; top cluster 45% — may still be a studio backdrop,0.002,0.262,no,top_black_aspesi_short-sleeve_knit_polo,1908,2746,812989,PNG,contact_sheet
content/swipe/products/IMG_0182.png,content/swipe/products,product,wide-leg gabardine trousers,navy,ASPESI,,,,07070A,0.368,151822,0.239,2A2A30,0.154,ACABAB,0.121,70675F,0.119,warm charcoal,14.0,low,little left after background removal,0.053,0.199,no,bottom_navy_aspesi_wide-leg_gabardine_trousers,1908,2746,1339463,PNG,contact_sheet
content/swipe/products/IMG_0183.png,content/swipe/products,product,wide-leg gabardine trousers,navy,ASPESI,,,,1F2025,0.614,1A1C2A,0.21,A8A8AA,0.102,676561,0.07,,,warm charcoal,9.5,medium,background dominates frame; top cluster 61% — may still be a studio backdrop,0.007,0.308,no,bottom_navy_aspesi_wide-leg_gabardine_trousers,1908,2746,933899,PNG,contact_sheet
content/swipe/products/IMG_0184.png,content/swipe/products,product,trouser colour and size selector,navy,ASPESI,,,,24262D,0.616,010102,0.202,C4BCAF,0.091,78797D,0.052,6A6540,0.039,warm charcoal,9.1,medium,background dominates frame; top cluster 62% — may still be a studio backdrop,0.0,0.253,no,bottom_navy_aspesi_trouser_colour_size,1908,2746,547837,PNG,contact_sheet
content/swipe/products/IMG_0185.png,content/swipe/products,product,chambray cotton shirt,light blue,ASPESI,,,,1B1D21,0.503,718BAD,0.166,37383F,0.146,A3A3A5,0.1,1D2A47,0.084,warm charcoal,10.1,medium,background dominates frame; top cluster 50% — may still be a studio backdrop,0.004,0.292,no,top_light_blue_aspesi_chambray_cotton_shirt,1908,2746,1028834,PNG,contact_sheet
content/swipe/products/IMG_0186.png,content/swipe/products,product,"chambray shirt, flat shot",light blue,ASPESI,,,,748FB0,0.517,24262D,0.295,6882A4,0.124,A9ADB5,0.033,4C5463,0.031,muted teal,17.2,medium,top cluster 52% — may still be a studio backdrop,0.0,0.484,no,shoes_light_blue_aspesi_chambray_shirt,1908,2746,1795368,PNG,contact_sheet
content/swipe/products/IMG_0187.png,content/swipe/products,product,technical taffeta overcoat,black,ASPESI,,,,020203,0.416,BAB9BA,0.204,89898A,0.196,48474B,0.155,,,warm charcoal,14.6,low,little left after background removal,0.016,0.093,no,,1908,2746,983170,PNG,contact_sheet
content/swipe/products/IMG_0188.png,content/swipe/products,product,nylon parka coat,dark teal,ASPESI,,,,020304,0.378,2C3542,0.216,8A8D92,0.157,BBBBBB,0.144,59575B,0.105,warm charcoal,14.6,low,little left after background removal,0.014,0.108,no,layer_dark_teal_aspesi_nylon_parka_coat,1908,2746,1025290,PNG,contact_sheet
content/swipe/products/IMG_0189.png,content/swipe/products,product,coat colour and size selector,navy,ASPESI,,,,DDDFE2,0.725,8B8D90,0.102,B9AB97,0.087,3C3F45,0.085,,,stone,8.6,low,little left after background removal; top cluster 72% — may still be a studio backdrop,0.0,0.15,no,layer_navy_aspesi_coat_colour_size,1908,2746,451072,PNG,contact_sheet
content/swipe/products/IMG_0190.png,content/swipe/products,product,linen shirt,white,ASPESI,,,,25272D,0.644,030304,0.168,B9B7BA,0.115,737275,0.072,,,warm charcoal,8.4,low,little left after background removal; top cluster 64% — may still be a studio backdrop,0.011,0.22,no,top_white_aspesi_linen_shirt,1908,2746,714623,PNG,contact_sheet
content/swipe/products/IMG_0191.png,content/swipe/products,product,"shirt, zoomed flat shot",white,ASPESI,,,,535458,0.498,161619,0.215,C7C6CB,0.142,8F929A,0.139,,,warm charcoal,11.2,low,little left after background removal; top cluster 50% — may still be a studio backdrop,0.008,0.028,no,shoes_white_aspesi_shirt,1908,2746,466305,PNG,contact_sheet
content/swipe/products/IMG_0192.png,content/swipe/products,product,short blouson jacket,olive,ASPESI,,,,25262C,0.479,4B3C2A,0.254,070505,0.144,B0AFAE,0.076,717071,0.047,warm charcoal,8.5,medium,background dominates frame; top cluster 48% — may still be a studio backdrop,0.003,0.301,no,layer_olive_aspesi_short_blouson_jacket,1908,2746,1018476,PNG,contact_sheet
content/swipe/products/IMG_0193.png,content/swipe/products,product,glued shirt jacket,black,ASPESI,,,,010101,0.5,414245,0.217,BDBAB7,0.126,7F8085,0.115,584234,0.042,warm charcoal,14.7,low,little left after background removal; top cluster 50% — may still be a studio backdrop,0.034,0.099,no,layer_black_aspesi_glued_shirt_jacket,1908,2746,965805,PNG,contact_sheet
content/swipe/products/IMG_0194.png,content/swipe/products,product,poplin shirt,light blue,ASPESI,,,,25272D,0.53,BFCCE0,0.202,06080B,0.187,858486,0.071,,,warm charcoal,8.4,medium,background dominates frame; top cluster 53% — may still be a studio backdrop,0.001,0.294,no,top_light_blue_aspesi_poplin_shirt,1908,2746,845263,PNG,contact_sheet
content/swipe/products/IMG_0195.png,content/swipe/products,product,gabardine midi skirt,black,ASPESI,,,,25262B,0.568,0E0D0E,0.289,B1AFAF,0.081,6C6B6C,0.061,,,warm charcoal,8.1,medium,background dominates frame; top cluster 57% — may still be a studio backdrop,0.01,0.296,no,bottom_black_aspesi_gabardine_midi_skirt,1908,2746,763558,PNG,contact_sheet
content/swipe/products/IMG_0196.png,content/swipe/products,product,hooded jacket,navy,ASPESI,,,,28292E,0.302,080606,0.294,C2B5A8,0.263,908D8B,0.094,60493F,0.048,warm charcoal,7.5,low,little left after background removal,0.064,0.159,no,layer_navy_aspesi_hooded_jacket,1908,2746,1115141,PNG,contact_sheet
content/swipe/products/IMG_0197.png,content/swipe/products,product,"hooded jacket, zoomed",navy,ASPESI,,,,1A1A1D,0.796,5A5A5D,0.087,BDBBBA,0.049,8A8D97,0.04,,,warm charcoal,10.3,low,little left after background removal; top cluster 80% — may still be a studio backdrop,0.004,0.129,no,layer_navy_aspesi_hooded_jacket,1908,2746,807349,PNG,contact_sheet
content/swipe/products/IMG_0198.png,content/swipe/products,product,"TRENCH DOPPIO PETTO IN GABARDINE DI LANA VERGINE, colour ""BARBERA""",oxblood burgundy,ASPESI,"pure virgin wool gabardine, viscose twill lining (stated in the Italian Dettagli text; percentages collapsed)","model shot: over black cropped trousers and black ballet flats, dark printed blouse",a near-black red reads as a neutral at a distance and as a colour up close,25272D,0.409,402527,0.292,050505,0.143,ACACAD,0.096,6D6C70,0.06,warm charcoal,8.4,medium,background dominates frame,0.009,0.289,yes,layer_burgundy_aspesi_double-breasted_trench_coat,1908,2746,945939,PNG,opened_reduced
content/swipe/products/IMG_0199.png,content/swipe/products,product,v-neck mohair and wool knit,light blue,ASPESI,,,,24262D,0.485,040407,0.168,7A8CAC,0.159,BBB7B3,0.12,737173,0.068,warm charcoal,9.1,medium,background dominates frame; top cluster 48% — may still be a studio backdrop,0.006,0.262,no,top_light_blue_aspesi_v-neck_mohair_wool,1908,2746,1241599,PNG,contact_sheet
content/swipe/products/IMG_0200.png,content/swipe/products,product,crepe cady jacket,black,ASPESI,,,,25272D,0.481,101011,0.366,ADADAD,0.09,6E6E6F,0.06,,,warm charcoal,8.4,medium,background dominates frame; top cluster 48% — may still be a studio backdrop,0.007,0.257,no,layer_black_aspesi_crepe_cady_jacket,1908,2746,627329,PNG,contact_sheet
content/swipe/products/IMG_0201.png,content/swipe/products,product,gabardine culotte skirt,camel,ASPESI,,,,1E1F23,0.561,B18F6C,0.211,ADACAC,0.108,6C696C,0.078,9A2923,0.042,warm charcoal,9.4,medium,background dominates frame; top cluster 56% — may still be a studio backdrop,0.025,0.267,no,bottom_camel_aspesi_gabardine_culotte_skirt,1908,2746,1016331,PNG,contact_sheet
content/swipe/products/IMG_0202.png,content/swipe/products,product,boat-neck merino knit,burgundy,ASPESI,,,,1E1E22,0.58,4A2737,0.203,B2AFAE,0.081,45403D,0.076,7A7C83,0.06,warm charcoal,9.5,medium,background dominates frame; top cluster 58% — may still be a studio backdrop,0.007,0.265,no,top_burgundy_aspesi_boat-neck_merino_knit,1908,2746,1044979,PNG,contact_sheet
content/swipe/products/IMG_0203.png,content/swipe/products,product,boat-neck merino knit,light blue,ASPESI,,,,1F2024,0.674,4F6583,0.183,AEACAB,0.083,686564,0.047,,,warm charcoal,9.1,medium,background dominates frame; top cluster 67% — may still be a studio backdrop,0.004,0.297,no,top_light_blue_aspesi_boat-neck_merino_knit,1908,2746,1032038,PNG,contact_sheet
content/swipe/products/IMG_0204.png,content/swipe/products,product,"MAGLIA CON SCOLLO A BARCHETTA IN LANA MERINO, colour ""VERDE""",moss olive green,ASPESI,merino wool (stated in the Italian Dettagli text; percentages collapsed),model shot: under a charcoal long coat with dark indigo flared jeans and a cream beanie,"boat neck keeps the green off the throat, which is where a strong green gets difficult",1F2025,0.656,62652D,0.179,A5A4A4,0.1,4A4D55,0.065,,,warm charcoal,9.5,medium,background dominates frame; top cluster 66% — may still be a studio backdrop,0.004,0.3,yes,top_olive_green_aspesi_boat-neck_merino_knit,1908,2746,1077192,PNG,opened_reduced
